net,length_um
_11254_,120.02
_03268_,119.9
_01168_,119.86
_07418_,119.84
_02230_,119.82
_07753_,119.8
_12193_,119.72
_03400_,119.66
_10082_,119.62
_09716_,119.54
_07678_,119.515
_01991_,119.4
_00747_,119.39
_02920_,119.36
_06546_,119.35
_05803_,119.34
_09494_,119.33
_02660_,119.28
_10334_,119.19
_07425_,119.14
_01623_,119.08
_01781_,119.075
_06675_,119.06
_04890_,119
_12894_,118.96
_04165_,118.86
_06845_,118.86
_04341_,118.8
_10595_,118.76
_08840_,118.74
_03510_,118.72
_12839_,118.645
clknet_leaf_77_clk,118.62
_09738_,118.54
_05847_,118.4
_08694_,118.38
_01820_,117.96
_11532_,117.9
_00886_,117.76
_14334_,117.75
_07221_,117.74
_07183_,117.63
_10074_,117.52
_11441_,117.48
_01169_,117.46
_14380_,117.32
_09590_,117.26
_04964_,117.235
_09104_,116.99
_07513_,116.94
_07860_,116.93
_13083_,116.92
_11895_,116.83
_03565_,116.76
_04898_,116.7
_00821_,116.52
_02299_,116.52
_02952_,116.42
_07629_,116.375
_07073_,116.32
_13858_,116.18
_07920_,116.16
_10922_,116.12
_08981_,116.115
_10751_,116.03
_07310_,115.97
_11352_,115.94
_09182_,115.935
_07312_,115.92
_05092_,115.9
_07152_,115.84
_14221_,115.7
_09179_,115.68
_03734_,115.54
_09954_,115.52
_03554_,115.49
_10353_,115.44
_12508_,115.38
_14488_,115.19
_01123_,115.14
_11224_,115
_08512_,114.96
_07925_,114.95
_02825_,114.94
_00705_,114.92
_12882_,114.88
_05935_,114.8
_06523_,114.78
_02182_,114.76
_10192_,114.74
_11104_,114.69
_13723_,114.68
_07607_,114.595
_08834_,114.545
_10902_,114.38
_11005_,114.24
_02112_,114.18
_12730_,113.97
_01601_,113.785
_01375_,113.73
